"","term","gene"
"373","Adipocytes%FANTOM%2.txt8","ADIPOQ"
"374","Adipocytes%FANTOM%3.txt1","ADH1B"
"375","Adipocytes%FANTOM%3.txt2","ATP1A2"
"376","Adipocytes%FANTOM%3.txt3","C6"
"377","Adipocytes%FANTOM%3.txt4","GPD1"
"378","Adipocytes%FANTOM%3.txt5","HP"
"379","Adipocytes%FANTOM%3.txt6","LBP"
"380","Adipocytes%FANTOM%3.txt7","PLIN1"
"381","Adipocytes%FANTOM%3.txt8","TF"
"382","Adipocytes%FANTOM%3.txt9","ADIPOQ"
"383","Adipocytes%HPCA%1.txt1","ADH1B"
"384","Adipocytes%HPCA%1.txt2","ATP5G3"
"385","Adipocytes%HPCA%1.txt3","DLAT"
"386","Adipocytes%HPCA%1.txt4","GPD1"
"387","Adipocytes%HPCA%1.txt5","HADHA"
"388","Adipocytes%HPCA%1.txt6","LBP"
"389","Adipocytes%HPCA%1.txt7","PLIN1"
"390","Adipocytes%HPCA%1.txt8","PPP1R1A"
"391","Adipocytes%HPCA%1.txt9","PPP2R1B"
"392","Adipocytes%HPCA%1.txt10","PTGER3"
"393","Adipocytes%HPCA%1.txt11","CILP"
"394","Adipocytes%HPCA%1.txt12","ADIPOQ"
"395","Adipocytes%HPCA%1.txt13","COL5A3"
"396","Adipocytes%HPCA%1.txt14","PNPLA2"
"397","Adipocytes%HPCA%2.txt1","ADH1B"
"398","Adipocytes%HPCA%2.txt2","DLAT"
"399","Adipocytes%HPCA%2.txt3","GPD1"
"400","Adipocytes%HPCA%2.txt4","LBP"
"401","Adipocytes%HPCA%2.txt5","PLIN1"
"402","Adipocytes%HPCA%2.txt6","PPP1R1A"
"403","Adipocytes%HPCA%2.txt7","PPP2R1B"
"404","Adipocytes%HPCA%2.txt8","PTGER3"
"405","Adipocytes%HPCA%2.txt9","CILP"
"406","Adipocytes%HPCA%2.txt10","ADIPOQ"
"407","Adipocytes%HPCA%2.txt11","COL5A3"
"408","Adipocytes%HPCA%2.txt12","PNPLA2"
"409","Adipocytes%HPCA%3.txt1","ADH1B"
"410","Adipocytes%HPCA%3.txt2","SLC25A6"
"411","Adipocytes%HPCA%3.txt3","ATP5G3"
"412","Adipocytes%HPCA%3.txt4","DBI"
"413","Adipocytes%HPCA%3.txt5","DLAT"
"414","Adipocytes%HPCA%3.txt6","GPD1"
"415","Adipocytes%HPCA%3.txt7","LBP"
"416","Adipocytes%HPCA%3.txt8","PLIN1"
"417","Adipocytes%HPCA%3.txt9","PPP1R1A"
"418","Adipocytes%HPCA%3.txt10","PPP2R1B"
"419","Adipocytes%HPCA%3.txt11","PTGER3"
"420","Adipocytes%HPCA%3.txt12","CILP"
"421","Adipocytes%HPCA%3.txt13","ADIPOQ"
"422","Adipocytes%HPCA%3.txt14","COL5A3"
"423","Adipocytes%HPCA%3.txt15","ECHDC1"
"424","Adipocytes%HPCA%3.txt16","PNPLA2"
"425","Astrocytes%ENCODE%1.txt1","CNN1"
